dataset,comparison,LPIPS
coco_val2017,base,0.668501
coco_val2017,base,0.308929
coco_val2017,base,0.404745
coco_val2017,base,0.330870
coco_val2017,base,0.681798
coco_val2017,base,0.249495
coco_val2017,base,0.232633
coco_val2017,base,0.659066
coco_val2017,base,0.420115
coco_val2017,base,0.504305
coco_val2017,base,0.340492
coco_val2017,base,0.029587
coco_val2017,base,0.270475
coco_val2017,base,0.012578
coco_val2017,base,0.475155
coco_val2017,base,0.040756
coco_val2017,base,0.231201
coco_val2017,base,0.006233
coco_val2017,base,0.012233
coco_val2017,base,0.522033
coco_val2017,base,0.507846
coco_val2017,base,0.312035
coco_val2017,base,0.014323
coco_val2017,base,0.348439
coco_val2017,base,0.525820
coco_val2017,base,0.182618
coco_val2017,base,0.305886
coco_val2017,base,0.007977
coco_val2017,base,0.246727
coco_val2017,base,0.646614
coco_val2017,base,0.481571
coco_val2017,base,0.634359
coco_val2017,base,0.301591
coco_val2017,base,0.018946
coco_val2017,base,0.269429
coco_val2017,base,0.016646
coco_val2017,base,0.333046
coco_val2017,base,0.372934
coco_val2017,base,0.659092
coco_val2017,base,0.145185
coco_val2017,base,0.341424
coco_val2017,base,0.594646
coco_val2017,base,0.458728
coco_val2017,base,0.012013
coco_val2017,base,0.324206
coco_val2017,base,0.307189
coco_val2017,base,0.689886
coco_val2017,base,0.254551
coco_val2017,base,0.384148
coco_val2017,base,0.522656
coco_val2017,base,0.626484
coco_val2017,base,0.005314
coco_val2017,base,0.727733
coco_val2017,base,0.710171
coco_val2017,base,0.778179
coco_val2017,base,0.717083
coco_val2017,base,0.605473
coco_val2017,base,0.644007
coco_val2017,base,0.571822
coco_val2017,base,0.629853
coco_val2017,base,0.285489
coco_val2017,base,0.606362
coco_val2017,base,0.268041
coco_val2017,base,0.351279
coco_val2017,base,0.167218
coco_val2017,base,0.025712
coco_val2017,base,0.699350
coco_val2017,base,0.017253
coco_val2017,base,0.669545
coco_val2017,base,0.398305
coco_val2017,base,0.017345
coco_val2017,base,0.657363
coco_val2017,base,0.017458
coco_val2017,base,0.005160
coco_val2017,base,0.313698
coco_val2017,base,0.651775
coco_val2017,base,0.028741
coco_val2017,base,0.216176
coco_val2017,base,0.449364
coco_val2017,base,0.391086
coco_val2017,base,0.327687
coco_val2017,base,0.570167
coco_val2017,base,0.632631
coco_val2017,base,0.651063
coco_val2017,base,0.189696
coco_val2017,base,0.273289
coco_val2017,base,0.619499
coco_val2017,base,0.305133
coco_val2017,base,0.308208
coco_val2017,base,0.643334
coco_val2017,base,0.644825
coco_val2017,base,0.320705
coco_val2017,base,0.596409
coco_val2017,base,0.521310
coco_val2017,base,0.024983
coco_val2017,base,0.501201
coco_val2017,base,0.019692
coco_val2017,base,0.558038
coco_val2017,base,0.254418
coco_val2017,base,0.675932
coco_val2017,base,0.239618
coco_val2017,base,0.349039
coco_val2017,base,0.508653
coco_val2017,base,0.034573
coco_val2017,base,0.015618
coco_val2017,base,0.290869
coco_val2017,base,0.021928
coco_val2017,base,0.270376
coco_val2017,base,0.636127
coco_val2017,base,0.015749
coco_val2017,base,0.033792
coco_val2017,base,0.022495
coco_val2017,base,0.006076
coco_val2017,base,0.638167
coco_val2017,base,0.009855
coco_val2017,base,0.308560
coco_val2017,base,0.034098
coco_val2017,base,0.363337
coco_val2017,base,0.229823
coco_val2017,base,0.344152
coco_val2017,base,0.265050
coco_val2017,base,0.335675
coco_val2017,base,0.668887
coco_val2017,base,0.226212
coco_val2017,base,0.273243
coco_val2017,base,0.302519
coco_val2017,base,0.316250
coco_val2017,base,0.018730
coco_val2017,base,0.018548
coco_val2017,base,0.678188
coco_val2017,base,0.009153
coco_val2017,base,0.227092
coco_val2017,base,0.261498
coco_val2017,base,0.027873
coco_val2017,base,0.258588
coco_val2017,base,0.278088
coco_val2017,base,0.643607
coco_val2017,base,0.209547
coco_val2017,base,0.249901
coco_val2017,base,0.493324
coco_val2017,base,0.647197
coco_val2017,base,0.321384
coco_val2017,base,0.015418
coco_val2017,base,0.513244
coco_val2017,base,0.612917
coco_val2017,base,0.629595
coco_val2017,base,0.016193
coco_val2017,base,0.692639
coco_val2017,base,0.016263
coco_val2017,base,0.024509
coco_val2017,base,0.613115
coco_val2017,base,0.018346
coco_val2017,base,0.011484
coco_val2017,base,0.612795
